workspaceId,projectId,assigneeId,name,status,description,dueDate,position,serialNumber,partNumber,partNumberType,hardwareRevision,softwareRelease,site,locationLat,locationLng,locationAddress,installationDate,warrantyEndDate,eolDate,lastServiceDate,condition,criticality,compatibilityRisk,source
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SIMI W 01,INSTALLED,"SIMI W 01 in OBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-02,2000,SN-SIMIW-000001,A2V0002384001,A2V,HW-2.1,SW-2.1.1,OBB,48.208200,16.373800,"Vienna Central, OBB",2012-01-20,2018-01-18,2027-01-16,2013-01-20,GOOD,LOW,LOW,MANUAL
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SIMIS C 02,INSTALLED,"SIMIS C 02 in Bern SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-03,3000,SN-SIMISC-000002,A6Z0002332002,A6Z,HW-3.2,SW-3.2.2,Bern SBB,46.948000,7.439000,Bern SBB Operations Center,2012-02-08,2018-02-06,2027-02-04,2013-02-09,GOOD,MEDIUM,MEDIUM,CSV_IMPORT
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SICAS S7 03,INSTALLED,"SICAS S7 03 in SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-04,4000,SN-SICASS7-000003,A5N0003307003,AN,HW-4.3,SW-4.3.3,SBB,47.376900,8.541700,Zurich SBB Main Network,2012-02-27,2018-02-25,2027-02-23,2013-03-01,GOOD,HIGH,HIGH,REPAIR_INTAKE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,ESTW L90 04,INSTALLED,"ESTW L90 04 in SBB Luzern. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-05,5000,SN-ESTWL90-000004,ABCD1204-504,WLN,HW-5.4,SW-5.4.4,SBB Luzern,47.050200,8.309300,Luzern SBB Depot,2012-03-17,2018-03-16,2027-03-14,2013-03-21,FAIR,CRITICAL,LOW,WAREHOUSE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,RBC Unit 05,INSTALLED,"RBC Unit 05 in SBB Basel. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-06,6000,SN-RBCUnit-000005,6XX6205-0AB15,STAMMHAUS,HW-6.5,SW-6.5.5,SBB Basel,47.559600,7.588600,Basel SBB Maintenance Hub,2012-04-05,2018-04-04,2027-04-02,2013-04-10,GOOD,LOW,MEDIUM,OCR_SCAN
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Axle Counter ACM 06,INSTALLED,"Axle Counter ACM 06 in SBB Lausanne. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-07,7000,SN-AxleCounterACM-000006,A2V0002384006,A2V,HW-7.6,SW-7.6.6,SBB Lausanne,46.519700,6.632300,Lausanne SBB Service Yard,2012-04-24,2018-04-23,2027-04-21,2013-04-30,FAIR,MEDIUM,HIGH,MANUAL
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Interlocking CPU 07,IN_STOCK,"Interlocking CPU 07 in OBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-08,8000,SN-InterlockingCPU-000007,A6Z0002332007,A6Z,HW-8.7,SW-8.7.7,OBB,48.208200,16.373800,"Vienna Central, OBB",2012-05-13,2018-05-12,2027-05-10,2013-05-20,POOR,HIGH,LOW,CSV_IMPORT
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Balise Reader 08,IN_STOCK,"Balise Reader 08 in Bern SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-09,9000,SN-BaliseReader-000008,A5N0003307008,AN,HW-1.8,SW-9.8.8,Bern SBB,46.948000,7.439000,Bern SBB Operations Center,2012-06-01,2018-05-31,2027-05-29,2013-06-09,GOOD,CRITICAL,MEDIUM,REPAIR_INTAKE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Signal Controller 09,IN_REPAIR,"Signal Controller 09 in SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-10,10000,SN-SignalController-000009,ABCD1209-509,WLN,HW-2.9,SW-1.9.9,SBB,47.376900,8.541700,Zurich SBB Main Network,2012-06-20,2018-06-19,2027-06-17,2013-06-29,GOOD,LOW,HIGH,WAREHOUSE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Track Circuit Unit 10,RESERVED,"Track Circuit Unit 10 in SBB Luzern. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-11,11000,SN-TrackCircuitUnit-000010,6XX6210-0AB20,STAMMHAUS,HW-3.0,SW-2.10.10,SBB Luzern,47.050200,8.309300,Luzern SBB Depot,2012-07-09,2018-07-08,2027-07-06,2013-07-19,GOOD,MEDIUM,LOW,OCR_SCAN
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,PROSIM-LMU 11,RETIRED,"PROSIM-LMU 11 in SBB Basel. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-12,12000,SN-PROSIM-LMU-000011,A2V0002384011,A2V,HW-4.1,SW-3.11.11,SBB Basel,47.559600,7.588600,Basel SBB Maintenance Hub,2012-07-28,2018-07-27,2027-07-25,2013-08-08,FAIR,HIGH,MEDIUM,MANUAL
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,ETCS Interface 12,INSTALLED,"ETCS Interface 12 in SBB Lausanne. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-13,13000,SN-ETCSInterface-000012,A6Z0002332012,A6Z,HW-5.2,SW-4.0.12,SBB Lausanne,46.519700,6.632300,Lausanne SBB Service Yard,2012-08-16,2018-08-15,2027-08-13,2013-08-28,GOOD,CRITICAL,HIGH,CSV_IMPORT
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SIMI W 13,INSTALLED,"SIMI W 13 in OBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-14,14000,SN-SIMIW-000013,A5N0003307013,AN,HW-6.3,SW-5.1.13,OBB,48.208200,16.373800,"Vienna Central, OBB",2012-09-04,2018-09-03,2027-09-01,2013-09-17,FAIR,LOW,LOW,REPAIR_INTAKE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SIMIS C 14,INSTALLED,"SIMIS C 14 in Bern SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-15,15000,SN-SIMISC-000014,ABCD1214-514,WLN,HW-7.4,SW-6.2.14,Bern SBB,46.948000,7.439000,Bern SBB Operations Center,2012-09-23,2018-09-22,2027-09-20,2013-10-07,POOR,MEDIUM,MEDIUM,WAREHOUSE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,SICAS S7 15,INSTALLED,"SICAS S7 15 in SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-16,16000,SN-SICASS7-000015,6XX6215-0AB25,STAMMHAUS,HW-8.5,SW-7.3.15,SBB,47.376900,8.541700,Zurich SBB Main Network,2012-10-12,2018-10-11,2027-10-09,2013-10-27,GOOD,HIGH,HIGH,OCR_SCAN
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,ESTW L90 16,INSTALLED,"ESTW L90 16 in SBB Luzern. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-17,17000,SN-ESTWL90-000016,A2V0002384016,A2V,HW-1.6,SW-8.4.16,SBB Luzern,47.050200,8.309300,Luzern SBB Depot,2012-10-31,2018-10-30,2027-10-28,2013-11-16,GOOD,CRITICAL,LOW,MANUAL
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,RBC Unit 17,INSTALLED,"RBC Unit 17 in SBB Basel. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-18,18000,SN-RBCUnit-000017,A6Z0002332017,A6Z,HW-2.7,SW-9.5.17,SBB Basel,47.559600,7.588600,Basel SBB Maintenance Hub,2012-11-19,2018-11-18,2027-11-16,2013-12-06,GOOD,LOW,MEDIUM,CSV_IMPORT
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Axle Counter ACM 18,IN_STOCK,"Axle Counter ACM 18 in SBB Lausanne. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-19,19000,SN-AxleCounterACM-000018,A5N0003307018,AN,HW-3.8,SW-1.6.18,SBB Lausanne,46.519700,6.632300,Lausanne SBB Service Yard,2012-12-08,2018-12-07,2027-12-05,2013-12-26,FAIR,MEDIUM,HIGH,REPAIR_INTAKE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Interlocking CPU 19,IN_STOCK,"Interlocking CPU 19 in OBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-20,20000,SN-InterlockingCPU-000019,ABCD1219-519,WLN,HW-4.9,SW-2.7.19,OBB,48.208200,16.373800,"Vienna Central, OBB",2012-12-27,2018-12-26,2027-12-24,2014-01-15,GOOD,HIGH,LOW,WAREHOUSE
69a7071f0022224130e9,69a7071f0022224130e9,69a7071f002c745ddabd,Balise Reader 20,IN_REPAIR,"Balise Reader 20 in Bern SBB. Monitor lifecycle age, compatibility, and maintenance readiness.",2026-04-21,21000,SN-BaliseReader-000020,6XX6220-0AB30,STAMMHAUS,HW-5.0,SW-3.8.20,Bern SBB,46.948000,7.439000,Bern SBB Operations Center,2013-01-15,2019-01-14,2028-01-12,2014-02-04,FAIR,CRITICAL,MEDIUM,OCR_SCAN
